J,v,e/f,Ref,TypeTag,Lifetime_Obs,Unc_Obs,Lifetime_Calc,Unc_Calc,OC,RealDifference
0.5,4,f,05DePoDe,Exp,22.0,1.833333333,18.77797226264416,2.2784861029009464,3.222027737355841,0
1.5,4,f,05DePoDe,Exp,23.0,2.0,18.663101382713712,2.3007762089644808,4.336898617286288,0.03612240832180724
2.5,4,f,05DePoDe,Exp,18.0,1.24137931,19.689439203932157,2.394315760607822,-1.6894392039321566,0
3.5,4,f,05DePoDe,Exp,21.0,1.615384615,19.404496575575457,2.584213653935443,1.5955034244245425,0
4.5,4,f,05DePoDe,Exp,20.0,1.481481481,16.66434909923382,2.131954910785619,3.335650900766179,0
5.5,4,f,05DePoDe,Exp,21.0,1.615384615,17.428811216360916,2.1198474889643775,3.5711887836390837,0
6.5,4,f,05DePoDe,Exp,18.0,1.2,15.480897569131521,2.187706192308455,2.519102430868479,0
7.5,4,f,05DePoDe,Exp,17.0,1.096774194,15.545118433168136,1.903929396654605,1.4548815668318635,0
2.5,2,f,21SuZhZh,Exp,130000.0,30.0,125698.20326478024,28797.860962620885,4301.796735219759,0
0.5,4,f,21SuZhZh,Exp,14.0,3.0,18.77797226264416,2.2784861029009464,-4.777972262644159,0
13.5,0,f,78BrErLy,Exp,830000.0,20000.0,6322599.630218059,3446440.647828504,-5492599.630218059,2026158.9823895548
22.5,0,e,78BrErLy,Exp,1110000.0,30000.0,5328477.383226011,2904545.933418786,-4218477.383226011,1283931.4498072248
23.5,0,e,78BrErLy,Exp,1020000.0,30000.0,4703421.786674277,2563828.959215203,-3683421.786674277,1089592.827459074
23.5,0,f,78BrErLy,Exp,1060000.0,20000.0,6555802.190759455,3573559.053363196,-5495802.190759455,1902243.1373962588
24.5,0,e,78BrErLy,Exp,900000.0,50000.0,2208991.3011400634,1204118.2197529278,-1308991.3011400634,54873.081387135666
24.5,0,f,78BrErLy,Exp,920000.0,30000.0,2203179.6829869077,1406803.2743050337,-1283179.6829869077,0
25.5,0,e,78BrErLy,Exp,580000.0,30000.0,1109451.935003276,604760.7739279553,-529451.935003276,0
25.5,0,f,78BrErLy,Exp,680000.0,20000.0,760844.7162440579,186482.0278419223,-80844.71624405787,0
26.5,0,e,78BrErLy,Exp,340000.0,15000.0,477899.00192125305,128975.89846209991,-137899.00192125305,0
26.5,0,f,78BrErLy,Exp,370000.0,15000.0,298887.84422614885,77470.32387557358,71112.15577385115,0
27.5,0,e,78BrErLy,Exp,150000.0,10000.0,161310.94194974893,50427.2175483556,-11310.941949748929,0
27.5,0,f,78BrErLy,Exp,180000.0,10000.0,131165.05150914818,28190.148797051217,48834.94849085182,10644.799693800604
28.5,0,e,78BrErLy,Exp,110000.0,15000.0,86810.79909301846,14313.126948362229,23189.20090698154,0
28.5,0,f,78BrErLy,Exp,105000.0,10000.0,52434.061169996174,9987.902678181661,52565.938830003826,32578.036151822165
29.5,0,f,78BrErLy,Exp,100000.0,10000.0,26370.20297297453,3973.7674633587794,73629.79702702547,59656.02956366669
7.5,1,e,78BrErLy,Exp,770000.0,20000.0,13496407.20954423,7356873.61640115,-12726407.20954423,5349533.59314308
8.5,1,e,78BrErLy,Exp,800000.0,20000.0,25442079.052227303,13868443.44718347,-24642079.052227303,10753635.605043834
