J,v,e/f,State,Lambda,Sigma,LT (ps),Delta_C (ps),Tag,Type,Unc (ps),E
26.5,0,e,A2Sigma+,0,0.5,477899.0019,38175.0881,P,Ca,128975.8985,43374.43908
27.5,0,e,A2Sigma+,0,-0.5,161310.9419,19778.13858,P,Ca,50427.21755,44137.34501
28.5,0,e,A2Sigma+,0,0.5,86810.79909,3895.831057,P,Ca,14313.12695,44917.12712
29.5,0,e,A2Sigma+,0,-0.5,41109.94939,530.3430687,P,Ca,5463.536995,45712.61278
30.5,0,e,A2Sigma+,0,0.5,18401.77769,429.1145241,P,Ca,2637.327847,46522.59253
31.5,0,e,A2Sigma+,0,-0.5,8226.499198,269.8384995,P,Ca,1257.018403,47345.82083
32.5,0,e,A2Sigma+,0,0.5,4015.383261,167.6758273,P,Ca,649.5218186,48181.01246
33.5,0,e,A2Sigma+,0,-0.5,2282.53306,39.99107731,P,Ca,313.8950445,49026.844
34.5,0,e,A2Sigma+,0,0.5,1264.921066,20.1036133,P,Ca,171.8941413,49881.94705
35.5,0,e,A2Sigma+,0,-0.5,679.6405651,15.77280138,P,Ca,97.3296692,50744.91189
24.5,0,f,A2Sigma+,0,-0.5,2203179.683,327245.2296,P,Ca,1406803.274,42624.52387
26.5,0,f,A2Sigma+,0,-0.5,298887.8442,20681.63347,P,Ca,77470.32388,44132.04892
27.5,0,f,A2Sigma+,0,0.5,131165.0515,3268.78901,P,Ca,28190.1488,44911.70367
28.5,0,f,A2Sigma+,0,-0.5,52434.06117,3695.815338,P,Ca,9987.902678,45707.06796
29.5,0,f,A2Sigma+,0,0.5,26370.20297,809.3431066,P,Ca,3973.767463,46516.93277
30.5,0,f,A2Sigma+,0,-0.5,12572.6204,558.2184402,P,Ca,2066.932888,47340.05223
31.5,0,f,A2Sigma+,0,0.5,6132.891296,333.60094,P,Ca,1069.547895,48175.14149
32.5,0,f,A2Sigma+,0,-0.5,3103.984737,130.6469972,P,Ca,503.1251657,49020.87677
33.5,0,f,A2Sigma+,0,0.5,1638.149759,20.18015867,P,Ca,216.7581297,49875.89009
